name,title,country,elo,birth_year,approx_age
"CARLSEN, MAGNUS",8,1,2852,1990,33
"NEPOMNIACHTCHI, IAN",8,2,2795,1990,33
"DING, LIREN",8,3,2788,1992,31
"FIROUZJA, ALIREZA",8,4,2785,2003,20
"NAKAMURA, HIKARU",8,6,2768,1987,36
"GIRI, ANISH",8,5,2768,1994,29
"CARUANA, FABIANO",8,6,2766,1992,31
"SO, WESLEY",8,6,2761,1993,30
"ANAND, VISWANATHAN",8,7,2754,1969,54
"RADJABOV, TEIMOUR",8,8,2747,1987,36
"ARONIAN, LEVON",8,6,2745,1982,41
"RAPPORT, RICHARD",8,9,2745,1996,27
"GRISCHUK, ALEXANDER",8,2,2745,1983,40
"DOMINGUEZ PEREZ, LEINIER",8,6,2743,1983,40
"MAMEDYAROV, SHAKHRIYAR",8,8,2738,1985,38
"VACHIER-LAGRAVE, MAXIME",8,4,2736,1990,33
"ABDUSATTOROV, NODIRBEK",8,10,2731,2004,19
GUKESH D,8,7,2730,2006,17
"VIDIT, SANTOSH GUJRATHI",8,7,2730,1994,29
"YU, YANGYI",8,3,2729,1994,29
"LE, QUANG LIEM",8,11,2728,1991,32
"TOPALOV, VESELIN",8,12,2728,1975,48
"MAGHSOODLOO, PARHAM",8,13,2726,2000,23
"DUDA, JAN-KRZYSZTOF",8,14,2724,1998,25
"WANG, HAO",8,3,2722,1989,34
"WEI, YI",8,3,2722,1999,24
"SJUGIROV, SANAN",8,2,2712,1993,30
"VALLEJO PONS, FRANCISCO",8,15,2710,1982,41
"SHANKLAND, SAM",8,6,2710,1991,32
"DUBOV, DANIIL",8,2,2708,1996,27
"HARIKRISHNA, PENTALA",8,7,2707,1986,37
"NIEMANN, HANS MOKE",8,6,2706,2003,20
"ELJANOV, PAVEL",8,16,2704,1983,40
"ROBSON, RAY",8,6,2702,1994,29
ERIGAISI ARJUN,8,7,2701,2003,20
"ARTEMIEV, VLADISLAV",8,2,2701,1998,25
"DEAC, BOGDAN-DANIEL",8,9,2700,2001,22
"KEYMER, VINCENT",8,17,2699,2004,19
"SARGISSIAN, GABRIEL",8,18,2699,1983,40
"TOMASHEVSKY, EVGENY",8,2,2694,1987,36
"BU, XIANGZHI",8,3,2694,1985,38
"AMIN, BASSEM",8,19,2692,1988,35
"XIONG, JEFFERY",8,6,2692,2000,23
PRAGGNANANDHAA R,8,7,2691,2005,18
"ADAMS, MICHAEL",8,20,2687,1971,52
"SEVIAN, SAMUEL",8,6,2687,2000,23
"MARTIROSYAN, HAIK M.",8,18,2686,2000,23
"NAVARA, DAVID",8,21,2685,1985,38
"ANTON GUIJARRO, DAVID",8,15,2685,1995,28
"MOUSSARD, JULES",8,4,2684,1995,28
"VAN FOREEST, JORDEN",8,5,2684,1999,24
"WOJTASZEK, RADOSLAW",8,14,2682,1987,36
"SALEM, A.R. SALEH",8,23,2677,1993,30
"ALMASI, ZOLTAN",8,22,2677,1976,47
"TABATABAEI, M. AMIN",8,13,2675,2001,22
"GELFAND, BORIS",8,24,2674,1968,55
"KOVALENKO, IGOR",8,16,2674,1988,35
"SARIC, IVAN",8,25,2674,1990,33
NIHAL SARIN,8,7,2673,2004,19
"KASIMDZHANOV, RUSTAM",8,10,2672,1979,44
"NAIDITSCH, ARKADIJ",8,8,2672,1985,38
"HOWELL, DAVID W L",8,20,2670,1990,33
"NI, HUA",8,3,2669,1983,40
"SHEVCHENKO, KIRILL",8,9,2668,2002,21
"OPARIN, GRIGORIY",8,6,2667,1997,26
"LI, CHAO B",8,3,2666,1989,34
"VOLOKITIN, ANDREI",8,16,2665,1986,37
NARAYANAN.S.L,8,7,2664,1998,25
"IVANCHUK, VASYL",8,16,2664,1969,54
"KAMSKY, GATA",8,6,2663,1974,49
"MATLAKOV, MAXIM",8,2,2662,1991,32
"SHIROV, ALEXEI",8,15,2661,1972,51
"SINDAROV, JAVOKHIR",8,10,2661,2005,18
"BLUEBAUM, MATTHIAS",8,17,2661,1997,26
"CHEPARINOV, IVAN",8,12,2661,1986,37
"GUSEINOV, GADIR",8,8,2661,1986,37
"BACROT, ETIENNE",8,4,2659,1983,40
"KOROBOV, ANTON",8,16,2658,1985,38
"GRANDELIUS, NILS",8,26,2658,1993,30
"KRYVORUCHKO, YURIY",8,16,2656,1986,37
"PONOMARIOV, RUSLAN",8,16,2655,1983,40
"SANTOS LATASA, JAIME",8,15,2655,1996,27
"NYZHNYK, ILLYA",8,16,2654,1996,27
"DONCHENKO, ALEXANDER",8,17,2653,1998,25
"NGUYEN, THAI DAI VAN",8,21,2651,2001,22
"CORI, JORGE",8,27,2650,1995,28
"VAN WELY, LOEK",8,5,2649,1972,51
"TARI, ARYAN",8,1,2649,1999,24
"MA, QUN",8,3,2648,1991,32
"MAMEDOV, RAUF",8,8,2646,1988,35
"SWIERCZ, DARIUSZ",8,6,2646,1994,29
"L'AMI, ERWIN",8,5,2645,1985,38
"MELKUMYAN, HRANT",8,18,2645,1989,34
"NGUYEN, NGOC TRUONG SON",8,11,2645,1990,33
"LIANG, AWONDER",8,6,2643,2003,20
"RAGGER, MARKUS",8,28,2641,1988,35
"SETHURAMAN, S.P.",8,7,2639,1993,30
"NABATY, TAMIR",8,24,2639,1991,32
"PICHOT, ALAN",8,29,2638,1998,25
"GLEDURA, BENJAMIN",8,22,2637,1999,24
"FEDORCHUK, SERGEY A.",8,16,2636,1981,42
"ITURRIZAGA BONELLI, EDUARDO",8,15,2636,1989,34
"INDJIC, ALEKSANDAR",8,30,2636,1995,28
"DURARBAYLI, VASIF",8,8,2635,1992,31
"PETROSYAN, MANUEL",8,18,2634,1998,25
"IDANI, POUYA",8,13,2633,1995,28
"HAMMER, JON LUDVIG",8,1,2631,1990,33
"BERKES, FERENC",8,22,2631,1985,38
"SARGSYAN, SHANT",8,18,2630,2002,21
"YAKUBBOEV, NODIRBEK",8,10,2630,2002,21
"LENIC, LUKA",8,31,2629,1988,35
"ARESHCHENKO, ALEXANDER",8,16,2629,1986,37
"YILMAZ, MUSTAFA",8,32,2629,1992,31
"PAPAIOANNOU, IOANNIS",8,33,2628,1976,47
"HOU, YIFAN",8,3,2628,1994,29
"GRANDA ZUNIGA, JULIO E",8,27,2628,1967,56
"MCSHANE, LUKE J",8,20,2627,1984,39
"SADHWANI, RAUNAK",8,7,2627,2005,18
"POPOV, IVAN",8,2,2627,1990,33
"KARTHIKEYAN, MURALI",8,7,2627,1999,24
"FRESSINET, LAURENT",8,4,2626,1981,42
"RIAZANTSEV, ALEXANDER",8,2,2626,1985,38
"ABASOV, NIJAT",8,8,2625,1995,28
"HENRIQUEZ VILLAGRA, CRISTOBAL",8,34,2624,1996,27
"NEGI, PARIMARJAN",8,7,2624,1993,30
"ZHEREBUKH, YAROSLAV",8,6,2623,1993,30
"MARECO, SANDRO",8,29,2623,1987,36
"GRIGORYAN, KAREN H.",8,18,2622,1995,28
"RODSHTEIN, MAXIM",8,24,2622,1989,34
"SVANE, RASMUS",8,17,2620,1997,26
"HAKOBYAN, ARAM",8,18,2620,2001,22
"GUPTA, ABHIJEET",8,7,2620,1989,34
"ONYSHCHUK, VOLODYMYR",8,16,2619,1991,32
"VOCATURO, DANIELE",8,35,2619,1989,34
"SOCKO, BARTOSZ",8,14,2618,1978,45
"KOLLARS, DMITRIJ",8,17,2618,1999,24
"JONES, GAWAIN C B",8,20,2618,1987,36
"GUSTAFSSON, JAN",8,17,2618,1979,44
"NARODITSKY, DANIEL",8,6,2618,1995,28
"BANUSZ, TAMAS",8,22,2616,1989,34
"KUZUBOV, YURIY",8,16,2616,1990,33
"TER-SAHAKYAN, SAMVEL",8,18,2616,1993,30
"BALOG, IMRE",8,22,2615,1991,32
"WARMERDAM, MAX",8,5,2614,2000,23
"MEIER, GEORG",8,37,2613,1987,36
"ANDERSEN, MADS",8,36,2613,1995,28
"AKOPIAN, VLADIMIR",8,6,2612,1971,52
"BERNADSKIY, VITALIY",8,16,2611,1994,29
"NEIKSANS, ARTURS",8,38,2611,1983,40
"BARAMIDZE, DAVID",8,17,2611,1988,35
"BRUZON BATISTA, LAZARO",8,6,2610,1982,41
"DARDHA, DANIEL",8,39,2610,2005,18
"MOVSESIAN, SERGEI",8,18,2610,1978,45
"BARTEL, MATEUSZ",8,14,2609,1985,38
"HANSEN, ERIC",8,40,2609,1992,31
"JUMABAYEV, RINAT",8,41,2609,1989,34
"SAFARLI, ELTAJ",8,8,2608,1992,31
"BJERRE, JONAS BUHL",8,36,2608,2004,19
HARSHA BHARATHAKOTI,8,7,2608,2000,23
"SUPI, LUIS PAULO",8,42,2608,1996,27
"ARAVINDH, CHITHAMBARAM VR.",8,7,2607,1999,24
ARYAN CHOPRA,8,7,2607,2001,22
"BOK, BENJAMIN",8,5,2607,1995,28
"MARTINEZ ALCANTARA, JOSE EDUARDO",8,27,2607,1999,24
"VAKHIDOV, JAKHONGIR",8,10,2607,1995,28
"ZILKA, STEPAN",8,21,2607,1988,35
"IVIC, VELIMIR",8,30,2606,2002,21
"DREEV, ALEKSEY",8,2,2606,1969,54
"FIER, ALEXANDR",8,42,2606,1988,35
"BORTNYK, OLEXANDR",8,16,2605,1996,27
"YUFFA, DANIIL",8,15,2605,1997,26
"NISIPEANU, LIVIU-DIETER",8,17,2604,1976,47
"ILLESCAS CORDOBA, MIGUEL",8,15,2604,1965,58
"BACHMANN, AXEL",8,43,2604,1989,34
"SASIKIRAN, KRISHNAN",8,7,2604,1981,42
"QUESADA PEREZ, YASSER",8,44,2604,1992,31
"ZHOU, WEIQI",8,3,2604,1986,37
"LAZNICKA, VIKTOR",8,21,2603,1988,35
"GAREYEV, TIMUR",8,6,2602,1988,35
"VOKHIDOV, SHAMSIDDIN",8,10,2601,2002,21
"PIORUN, KACPER",8,14,2601,1991,32
"GHARAMIAN, TIGRAN",8,4,2601,1984,39
"SUTOVSKY, EMIL",8,24,2601,1977,46
"KOKAREV, DMITRY",8,2,2600,1982,41
"TOMCZAK, JACEK",8,14,2600,1990,33
"CAN, EMRE",8,32,2600,1990,33
"MASTROVASILIS, DIMITRIOS",8,33,2599,1983,40
"SMIRIN, ILIA",8,24,2599,1968,55
"PURANIK, ABHIMANYU",8,7,2599,2000,23
"BANIKAS, HRISTOS",8,33,2599,1978,45
"AMONATOV, FARRUKH",8,45,2598,1978,45
"BRAUN, ARIK",8,17,2598,1988,35
"HUSCHENBETH, NICLAS",8,17,2598,1992,31
"ISKANDAROV, MISRATDIN",8,8,2598,1995,28
"MARKUS, ROBERT",8,30,2598,1983,40
"PECHAC, JERGUS",8,46,2598,2001,22
"ZVJAGINSEV, VADIM",8,2,2598,1976,47
"HOVHANNISYAN, ROBERT",8,18,2597,1991,32
"LU, SHANGLEI",8,3,2597,1995,28
"PANTSULAIA, LEVAN",8,47,2597,1986,37
"SHORT, NIGEL D",8,20,2597,1965,58
"ADLY, AHMED",8,19,2596,1987,36
"BAUER, CHRISTIAN",8,4,2596,1977,46
"BRKIC, ANTE",8,25,2596,1988,35
"MILOV, VADIM",8,48,2596,1972,51
"GRACHEV, BORIS",8,2,2595,1986,37
"VAIBHAV, SURI",8,7,2595,1997,26
"OLEKSIYENKO, MYKHAYLO",8,16,2594,1986,37
"KHISMATULLIN, DENIS",8,2,2594,1984,39
"PASHIKIAN, ARMAN",8,18,2594,1987,36
"TARLEV, KONSTANTIN",8,16,2592,1987,36
"AKOBIAN, VARUZHAN",8,6,2591,1983,40
"ZHAO, JUN",8,3,2591,1986,37
"YOO, CHRISTOPHER WOOJIN",8,6,2591,2006,17
"SANTOS RUIZ, MIGUEL",8,15,2591,1999,24
"SALGADO LOPEZ, IVAN",8,15,2591,1991,32
"SANAL, VAHAP",8,32,2590,1998,25
"PERALTA, FERNANDO",8,29,2590,1979,44
"QUESADA PEREZ, YUNIESKY",8,6,2590,1984,39
"FRIDMAN, DANIEL",8,17,2590,1976,47
"SOKOLOV, IVAN",8,5,2590,1968,55
"ADHIBAN, B.",8,7,2589,1992,31
"MIROSHNICHENKO, EVGENIJ",8,16,2589,1978,45
"MORANDA, WOJCIECH",8,14,2589,1988,35
"SAKAEV, KONSTANTIN",8,2,2589,1974,49
"ZHANG, ZHONG",8,3,2589,1978,45
"DOETTLING, FABIAN",8,17,2588,1980,43
"ERDOS, VIKTOR",8,22,2587,1987,36
"XU, XIANGYU",8,3,2587,1999,24
"GANGULY, SURYA SHEKHAR",8,7,2587,1983,40
"GAJEWSKI, GRZEGORZ",8,14,2587,1985,38
"ASADLI, VUGAR",8,8,2586,2001,22
"KRUPPA, YURI",8,16,2586,1964,59
"WAGNER, DENNIS",8,17,2586,1997,26
"SOLAK, DRAGAN",8,32,2586,1980,43
"SMIRNOV, ANTON",8,49,2586,2001,22
"MESHKOVS, NIKITA",8,38,2586,1994,29
"VAN DEN DOEL, ERIK",8,5,2585,1979,44
"ZENG, CHONGSHENG",8,3,2585,1993,30
"PROHASZKA, PETER",8,22,2584,1992,31
"DAUTOV, RUSTEM",8,17,2584,1965,58
"EFIMENKO, ZAHAR",8,16,2584,1985,38
"GOZZOLI, YANNICK",8,4,2584,1983,40
"IORDACHESCU, VIOREL",8,50,2584,1977,46
"THEODOROU, NIKOLAS",8,33,2584,2000,23
"AGDESTEIN, SIMEN",8,1,2583,1967,56
"ROMANOV, EVGENY",8,1,2583,1988,35
"KADRIC, DENIS",8,51,2583,1995,28
"GUREVICH, MIKHAIL",8,39,2583,1959,64
"ALBORNOZ CABRERA, CARLOS DANIEL",8,44,2583,2000,23
"REINDERMAN, DIMITRI",8,5,2582,1972,51
"LAGARDE, MAXIME",8,4,2581,1994,29
"WEN, YANG",8,3,2581,1988,35
"LUPULESCU, CONSTANTIN",8,9,2580,1984,39
"PONKRATOV, PAVEL",8,2,2580,1988,35
"CHRISTIANSEN, JOHAN-SEBASTIAN",8,1,2579,1998,25
"GABUZYAN, HOVHANNES",8,18,2579,1995,28
"NUNN, JOHN D M",8,20,2579,1955,68
"ANDRIASIAN, ZAVEN",8,18,2579,1989,34
"CHRISTIANSEN, LARRY",8,6,2579,1956,67
"MORONI, LUCA JR",8,35,2578,2000,23
"JOBAVA, BAADUR",8,47,2578,1983,40
"SVANE, FREDERIK",8,17,2577,2004,19
"MICHALIK, PETER",8,21,2577,1990,33
"TIN, JINGYAO",8,52,2576,2000,23
"KONERU, HUMPY",8,7,2576,1987,36
"ROIZ, MICHAEL",8,24,2575,1983,40
"MALETIN, PAVEL",8,2,2575,1986,37
"VAZQUEZ, GUILLERMO",8,43,2575,1997,26
"POTKIN, VLADIMIR",8,2,2574,1982,41
"NYBACK, TOMI",8,53,2574,1985,38
"FORCEN ESTEBAN, DANIEL",8,15,2574,1994,29
"MOISEENKO, ALEXANDER",8,16,2573,1980,43
"PEREZ CANDELARIO, MANUEL",8,15,2573,1983,40
"RAMIREZ, ALEJANDRO",8,6,2572,1988,35
"ACS, PETER",8,22,2572,1981,42
"GRIGORIANTS, SERGEY",8,22,2572,1983,40
"LENDERMAN, ALEKSANDR",8,6,2572,1989,34
GOPAL G.N.,8,7,2571,1989,34
"LAURUSAS, TOMAS",8,54,2571,1996,27
"BAI, JINSHI",8,3,2571,1999,24
"VAN FOREEST, LUCAS",8,5,2570,2001,22
"BORISEK, JURE",8,31,2570,1986,37
"MCHEDLISHVILI, MIKHEIL",8,47,2569,1979,44
"BARYSHPOLETS, ANDREY",8,16,2569,1991,32
"GIORGADZE, GIORGI",8,47,2569,1964,59
"LIVAIC, LEON",8,25,2569,2000,23
"BURKE, JOHN M",8,6,2568,2001,22
"ALI MARANDI, CEMIL CAN",8,32,2568,1998,25
"TECLAF, PAWEL",6,14,2568,2003,20
"ALONSO ROSELL, ALVAR",8,15,2567,1992,31
"ALEKSEEV, EVGENY",8,24,2567,1985,38
"TIMOFEEV, ARTYOM",8,2,2567,1985,38
"BALOGH, CSABA",8,22,2566,1987,36
"GEORGIADIS, NICO",8,48,2566,1996,27
"ANTAL, GERGELY",8,22,2565,1985,38
"GHOSH, DIPTAYAN",8,7,2565,1998,25
"IBARRA JEREZ, JOSE CARLOS",8,15,2563,1985,38
"CORNETTE, MATTHIEU",8,4,2563,1985,38
"QUESADA PEREZ, LUIS ERNESTO",8,44,2562,1999,24
"KUYBOKAROV, TEMUR",8,49,2562,2000,23
"BUHMANN, RAINER",8,17,2561,1981,42
"KRAEMER, MARTIN",8,17,2561,1987,36
"FELLER, SEBASTIEN",8,4,2561,1991,32
"DRAGNEV, VALENTIN",8,28,2561,1999,24
"LAGNO, KATERYNA",8,2,2560,1989,34
"PREDOJEVIC, BORKI",8,55,2560,1987,36
"DELGADO RAMIREZ, NEURIS",8,43,2560,1981,42
"AGREST, EVGENIJ",8,26,2559,1966,57
"BOCHAROV, IVAN",8,2,2559,1990,33
"KEMPINSKI, ROBERT",8,14,2559,1977,46
"MARTINOVIC, SASA",8,25,2559,1991,32
"NARAYANAN, SRINATH",8,7,2559,1994,29
"SONIS, FRANCESCO",8,35,2559,2002,21
"XU, YINGLUN",8,3,2558,1996,27
"ENGEL, LUIS",8,17,2558,2002,21
"GUMULARZ, SZYMON",8,14,2558,2001,22
"MENDONCA, LEON LUKE",8,7,2558,2006,17
"SMEETS, JAN",8,5,2558,1985,38
"SVIRIDOV, VALERY",0,2,2557,1991,32
"DRAGUN, KAMIL",8,14,2557,1995,28
"KAIDANOV, GREGORY",8,6,2556,1959,64
"TREGUBOV, PAVEL V.",8,4,2556,1971,52
"MIHOK, OLIVER",8,22,2555,1993,30
"BOSIOCIC, MARIN",8,25,2555,1988,35
"GAGUNASHVILI, MERAB",8,47,2555,1985,38
"MARKOS, JAN",8,46,2555,1985,38
"DZIUBA, MARCIN",8,14,2554,1983,40
"LI, DI",8,3,2554,1999,24
"OVSEJEVITSCH, SERGEI",8,16,2554,1977,46
"PARLIGRAS, MIRCEA-EMILIAN",8,9,2554,1980,43
"SADORRA, JULIO CATALINO",8,56,2554,1986,37
"VUCKOVIC, BOJAN",8,30,2554,1980,43
"CUENCA JIMENEZ, JOSE FERNANDO",8,15,2553,1987,36
"SCHROEDER, JAN-CHRISTIAN",8,17,2553,1998,25
"PAVLIDIS, ANTONIOS",8,33,2553,1993,30
"HEBERLA, BARTLOMIEJ",8,14,2553,1985,38
"SHOMOEV, ANTON",8,2,2552,1981,42
"NEUGEBAUER, MARTIN",6,46,2552,1999,24
"KULJASEVIC, DAVORIN",8,25,2552,1986,37
"KOZAK, ADAM",8,22,2552,2002,21
"KHANIN, SEMEN",6,2,2552,1999,24
"GRAF, ALEXANDER",8,17,2552,1962,61
"FONTAINE, ROBERT",8,48,2552,1980,43
"ZHANG, PENGXIANG",8,3,2552,1980,43
"SULEYMANLI, AYDIN",8,8,2552,2005,18
"SAVCHENKO, BORIS",8,2,2552,1986,37
"MICHIELS, BART",8,39,2551,1986,37
"GALPERIN, PLATON",8,16,2551,2003,20
"LINTCHEVSKI, DANIIL",8,2,2551,1990,33
"ZHOU, JIANCHAO",8,3,2550,1988,35
"JU, WENJUN",8,3,2550,1991,32
"STEVIC, HRVOJE",8,25,2550,1980,43
"PERUNOVIC, MILOS",8,30,2550,1984,39
"GAZIK, VIKTOR",8,46,2549,2001,22
"HEIMANN, ANDREAS",8,17,2549,1992,31
"PETROSIAN, TIGRAN L.",8,18,2548,1984,39
"GELASHVILI, TAMAZ",8,47,2548,1978,45
"HRACEK, ZBYNEK",8,21,2548,1970,53
"KOBO, ORI",8,24,2548,1997,26
"LIU, YAN",8,3,2548,2000,23
"MISHRA, ABHIMANYU",8,6,2548,2009,14
"TIVIAKOV, SERGEI",8,5,2548,1973,50
"DRYGALOV, SERGEY",8,2,2547,1999,24
"AROSHIDZE, LEVAN",8,15,2547,1985,38
"HERA, IMRE JR.",8,22,2547,1986,37
"RYCHAGOV, ANDREY",8,2,2547,1979,44
"SOROKIN, ALEKSEY",8,2,2547,2000,23
"ZAKHARTSOV, VLADIMIR",8,2,2547,1997,26
"BAKLAN, VLADIMIR",8,16,2546,1978,45
"STEINBERG, NITZAN",8,24,2546,1998,25
"PULTINEVICIUS, PAULIUS",8,54,2546,2001,22
"LOMASOV, SEMYON",8,24,2546,2002,21
"PRANAV, V",8,7,2545,2006,17
"LEI, TINGJIE",8,3,2545,1997,26
"ZISKA, HELGI DAM",8,57,2545,1990,33
"TRISTAN, LEONARDO",8,29,2545,1989,34
"SMIRNOV, PAVEL",8,2,2545,1982,41
"PERT, NICHOLAS",8,20,2544,1981,42
"STREMAVICIUS, TITAS",8,54,2544,1998,25
"SOSA, TOMAS",8,29,2544,1998,25
"POSTNY, EVGENY",8,24,2544,1981,42
"CORDOVA, EMILIO",8,27,2544,1991,32
"EL DEBS, FELIPE DE CRESCE",8,42,2544,1985,38
LALIT BABU M R,8,7,2544,1993,30
"LAZAVIK, DENIS",8,58,2544,2006,17
"PAPP, GABOR",8,22,2544,1987,36
"CHIRILA, IOAN-CRISTIAN",8,9,2543,1991,32
"CHENG, BOBBY",8,49,2543,1997,26
"JACOBSON, BRANDON",8,6,2543,2003,20
"LE, TUAN MINH",8,11,2542,1996,27
"PENG, LI MIN",8,16,2542,1997,26
"ROWSON, JONATHAN",8,60,2542,1977,46
"GEORGIEV, KIRIL",8,59,2542,1965,58
"OCHSNER, BJORN MOLLER",6,36,2542,1994,29
"MAZE, SEBASTIEN",8,4,2542,1984,39
"SKOBERNE, JURE",8,31,2541,1987,36
"DORFMAN, IOSSIF",8,4,2541,1953,70
"JANKOVIC, ALOJZIJE",8,25,2541,1983,40
"KEVLISHVILI, ROBBY",8,5,2541,2001,22
"PRUIJSSERS, ROELAND",8,5,2541,1989,34
"HOLT, CONRAD",8,6,2540,1993,30
"VAZQUEZ IGARZA, RENIER",8,15,2540,1979,44
"MURADLI, MAHAMMAD",8,8,2539,2003,20
"GRETARSSON, HJORVAR STEINN",8,61,2538,1993,30
"KELIRES, ANDREAS",8,33,2538,1999,24
"KRIVOBORODOV, EGOR",8,2,2538,1989,34
"KRYSA, LEANDRO",8,29,2538,1992,31
"MATVIISHEN, VIKTOR",8,16,2538,2002,21
"SPOELMAN, WOUTER",8,5,2538,1990,33
"TSYDYPOV, ZHAMSARAN",8,2,2538,1996,27
VISAKH N R,8,7,2538,1999,24
"MEKHITARIAN, KRIKOR SEVAG",8,42,2537,1986,37
"URKEDAL, FRODE OLAV OLSEN",8,1,2537,1993,30
"SEBENIK, MATEJ",8,31,2536,1983,40
"OBOLENSKIKH, DMITRY",6,2,2536,1985,38
"KOSTENIUK, ALEXANDRA",8,48,2536,1984,39
"HANDKE, FLORIAN, DR.",8,17,2536,1982,41
"IERMITO, SEBASTIAN",6,29,2536,1993,30
"BORUCHOVSKY, AVITAL",8,24,2536,1997,26
"DANESHVAR, BARDIYA",6,13,2535,2006,17
"IVANISEVIC, IVAN",8,30,2535,1977,46
"MAURIZZI, MARC`ANDRIA",8,4,2535,2007,16
"NASUTA, GRZEGORZ",8,14,2535,1996,27
"BABULA, VLASTIMIL",8,21,2535,1973,50
"STOCEK, JIRI",8,21,2534,1977,46
"MISTA, ALEKSANDER",8,14,2534,1983,40
ARONYAK GHOSH,6,7,2534,2003,20
"VOVK, YURI",8,16,2534,1988,35
"TUKHAEV, ADAM",8,16,2534,1988,35
"RUCK, ROBERT",8,22,2533,1977,46
"KOZUL, ZDENKO",8,25,2533,1966,57
"HERNANDEZ GUERRERO, GILBERTO",8,62,2533,1970,53
"POPOV, VALERIJ",8,2,2533,1974,49
"DAVID, ALBERTO",8,35,2532,1970,53
"EDOUARD, ROMAIN",8,4,2532,1990,33
"FLORES, DIEGO",8,29,2532,1982,41
"KANTOR, GERGELY",8,22,2532,1999,24
"LIU, QINGNAN",8,3,2532,1992,31
"PEREZ PONSA, FEDERICO",8,29,2532,1993,30
"WAHLS, MATTHIAS",8,17,2532,1968,55
"DVIRNYY, DANYYIL",8,35,2531,1990,33
"SARIC, IBRO",8,55,2531,1982,41
"KACHARAVA, NIKOLOZI",6,47,2531,2004,19
"AFANASIEV, NIKITA",8,2,2530,2000,23
"MARGVELASHVILI, GIORGI",8,47,2530,1990,33
"EHLVEST, JAAN",8,6,2530,1962,61
"BELOUS, VLADIMIR",8,2,2530,1993,30
"DAI, CHANGREN",6,3,2529,1999,24
"LIANG, JASON",6,6,2529,2007,16
"LAMPERT, JONAS",8,17,2529,1997,26
"LAMARD, GUILLAUME",6,4,2529,1997,26
"CRUZ, CRISTHIAN",8,27,2529,1992,31
"MOISEENKO, VADIM",8,2,2529,1994,29
"YAKOVICH, YURI",8,2,2528,1962,61
"WARAKOMSKI, TOMASZ",8,14,2528,1989,34
"KAZAKOUSKI, VALERY",8,54,2528,2000,23
"GULIYEV, NAMIG",8,8,2528,1974,49
"GAVRILESCU, DAVID",6,9,2527,2003,20
"LUTZ, CHRISTOPHER",8,17,2527,1971,52
"MARTINEZ DUANY, LELYS STANLEY",8,44,2527,1985,38
"NOVIKOV, IGOR",8,6,2527,1962,61
"KRASENKOW, MICHAL",8,14,2527,1963,60
"JANIK, IGOR",8,14,2527,2000,23
"ALMEIDA QUINTANA, OMAR",8,44,2527,1981,42
"TIMMAN, JAN H",8,5,2526,1951,72
"BOGNER, SEBASTIAN",8,48,2526,1991,32
"CUARTAS, JAIME ALEXANDER",8,63,2526,1975,48
"HAMDOUCHI, HICHAM",8,64,2526,1972,51
"NIKOLIC, PREDRAG",8,55,2526,1960,63
"PETKOV, MOMCHIL",8,12,2526,2005,18
"TAN, ZHONGYI",8,3,2526,1991,32
"DZAGNIDZE, NANA",8,47,2525,1987,36
"YILMAZYERLI, MERT",8,32,2525,1992,31
"BATSUREN, DAMBASUREN",8,65,2525,2004,19
"RASMUSSEN, ALLAN STIG",8,36,2525,1983,40
PRANAV ANAND,8,7,2525,2006,17
"LAURENT-PAOLI, PIERRE",6,4,2525,2000,23
"KULAOTS, KAIDO",8,66,2525,1976,47
"HUZMAN, ALEXANDER",8,24,2525,1962,61
"GONZALEZ VIDAL, YURI",8,44,2525,1981,42
"TEN HERTOG, HUGO",8,5,2524,1994,29
"ACZEL, GERGELY",8,22,2524,1991,32
"HARUTYUNYAN, TIGRAN K.",8,18,2524,1997,26
"NOE, CHRISTOPHER",6,17,2524,1996,27
"REPKA, CHRISTOPHER",8,46,2524,1998,25
"ANISIMOV, PAVEL",8,51,2523,1986,37
"MEGARANTO, SUSANTO",8,67,2523,1987,36
"KEZIN, ROMAN",6,2,2523,1995,28
"DLUGY, MAXIM",8,6,2523,1966,57
"BALAKRISHNAN, PRAVEEN",8,6,2523,2002,21
"KHARITONOV, ALEXANDR",8,2,2522,1986,37
"NIKITENKO, MIHAIL",8,58,2522,2000,23
"SIVUK, VITALY",8,26,2522,1992,31
"HARIA, RAVI",8,20,2522,1999,24
"TANG, ANDREW",8,6,2522,1999,24
"GOGANOV, ALEKSEY",8,2,2522,1991,32
"ERNST, SIPKE",8,5,2522,1979,44
"BASSO, PIER LUIGI",8,35,2522,1997,26
"ALSINA LEAL, DANIEL",8,15,2522,1988,35
"PRIASMORO, NOVENDRA",8,67,2521,1999,24
"HANSEN, SUNE BERG",8,36,2521,1971,52
"HORVATH, DOMINIK",6,28,2521,2003,20
"KRIEBEL, TADEAS",6,21,2521,1995,28
"MOZHAROV, MIKHAIL",8,2,2521,1990,33
"NANU, COSTICA-CIPRIAN",8,9,2521,1977,46
"PLAT, VOJTECH",8,21,2521,1994,29
"KOURKOULOS-ARDITIS, STAMATIS",6,33,2520,1998,25
"TERRY, RENATO",6,27,2520,1992,31
KOUSTAV CHATTERJEE,6,7,2520,2003,20
"DERVISHI, ERALD",8,68,2520,1979,44
"SWINKELS, ROBIN",8,5,2520,1989,34
"MOUSAVI, SEYED KHALIL",8,13,2520,1998,25
"KREJCI, JAN",8,21,2520,1992,31
